company,cnbc_link,cnbc_sum,Founders,Launched,Headquarters,Funding,Valuation,Industry,Previous appearances on Disruptor 50 List,Founder,Key technologies,CEO
Stripe,https://www.cnbc.com/id/106539909,Unlocking the lockdown's biggest value,"Patrick Collison (CEO), John Collison",2010,San Francisco,$1.6 billion,$36 billion,Global e-payments,5,0,0,0
Coupang,https://www.cnbc.com/id/106539921,Beating Bezos at his own online game?,0,2010,"Seoul, South Korea",$3.4 billion (PitchBook),$9 billion (PitchBook),"E-commerce, retail",0,Bom Kim (CEO),"Artificial intelligence, cloud computing, machine learning",0
Indigo Agriculture,https://www.cnbc.com/id/106539922,The future of farming is carbon negative,"David Berry, Geoffrey von Maltzahn and Noubar Afeyan",2014,Boston,$850 million,$3.5 billion,"Agriculture, farming",2,0,"Artificial intelligence, machine learning",David Perry
Coursera,https://www.cnbc.com/id/106539923,Online ed's biggest test begins,"Andrew Ng, Daphne Koller",2012,"Mountain View, California",$315 million,$1.6 billion (PitchBook),"Higher education, online learning",4,0,"AI, cloud computing, deep learning, Internet of Things, machine learning",Jeff Maggioncalda
Klarna,https://www.cnbc.com/id/106539925,No online sale left behind,"Sebastian Siemiatkowski (CEO), Niklas Adalberth, Victor Jacobsson",2005,Stockholm,$970 million,$5.5 billion,"E-commerce, financial services, fintech",2,0,"AI, cloud computing, edge computing, machine learning",0
Tempus,https://www.cnbc.com/id/106539930,Precision medicine for the Covid crisis,0,2015,Chicago,$620 million,$5 billion,Health care,0,Eric Lefkofsky (CEO),"AI, machine learning",0
Zipline,https://www.cnbc.com/id/106539932,Medicine takes flight autonomously,"Keller Rinaudo (CEO), Keenan Wyrobek, William Hetzler",2014,"Half Moon Bay, California",$225 million,$1.2 billion,"Drones, logistics, robots",2,0,"AI, drones/UAVs, edge computing, machine learning, robotics",0
SoFi,https://www.cnbc.com/id/106539934,The future of your financial future,"Ian Brady, Mike Cagney, James Finnigan, Dan Macklin",2011,San Francisco,$2.3 billion,$4.8 billion,"Banks, financial institutions",5,0,0,Anthony Noto
Neteera,https://www.cnbc.com/id/106539935,Contactless health,Isaac Litman (CEO),2015,Jerusalem,$13 million,$40 million,Remote sensing technology,0,0,"AI, autonomous vehicles, biochips, deep learning, internet of things, machine learning",0
Gojek,https://www.cnbc.com/id/106539937,"Indonesia's original ridehail, growing up","Nadiem Makarim, Kevin Aluwi (co-CEO) Andre Soelistyo (co-CEO)",2010,"Jakarta, Indonesia",$6.2 billion (PitchBook),$12.5 billion (PitchBook),"Transportation, food delivery, payments",0,0,"Artificial intelligence, cloud computing, deep learning, facial recognition, machine learning, software-defined security",0
WeLab,https://www.cnbc.com/id/106539939,Branchless banking,"Simon Loong (CEO), Kelly Wong",2013,Hong Kong,$580 million,N/A,"Virtual banking, fintech",0,0,"AI, augmented intelligence, cloud computing, deep learning, edge computing, facial recognition, machine learning, software-defined security",0
DoorDash,https://www.cnbc.com/id/106539941,The most in-demand in on-demand,"Tony Xu (CEO), Andy Fang, Stanley Tang",2013,San Francisco,$2 billion,$12.7 billion,"Food delivery, logistics",1,0,"Artificial intelligence, machine learning",0
Heal,https://www.cnbc.com/id/106539943,The next big thing in medicine: housecalls?,"Nick Desai (CEO), Dr. Renee Dua",2014,Los Angeles,$95 million,$136.8 million (PitchBook),On-demand health care,0,0,"Artificial intelligence, deep learning, Internet of Things",0
Movandi,https://www.cnbc.com/id/106539944,A network key to the 5G future,"Maryam Rofougaran (CEO), Reza Rofougaran",2016,"Irvine, California",$67 million,$108.8 million (PitchBook),Telecom,0,0,5G,0
Better.com,https://www.cnbc.com/id/106539946,Closing the mortgage gap online,0,2016,New York City,$254 million,N/A,Digital mortgages,0,Vishal Garg (CEO),"AI, cloud computing, machine learning",0
