"18 Digit Account ID Conversion","Account ID","Account Name","Active Pledge","Account Pledge Type","Investors","Total Funding (USD)","Funding Rounds To Date","Latest Round - Funding Type & Series","Last Round of Funding Type","Total Funding - date of last increase","Funding Increase Amount","IPO Date","Unicorn Status"
"001F000001aSKx2IAG","001F000001aSKx2","appfire","1","1% of Time; 1% of Product; 1% of Profit","Silversmith Capital Partners","49000000","Unknown","Private Equity","Unknown","6/10/2020","","",""
"001F000001ReR3eIAF","001F000001ReR3e","Atlassian","1","1% of Personal Equity; 1% of Time; 1% of Product","Employee Stock Option Fund (ESO Fund); T. Rowe Price; Dragoneer Investment Group; Accel","210000000","Unknown","Secondary Market","Unknown","","","12/10/2015","Exited Unicorn"
"001F000001Zo4qTIAR","001F000001Zo4qT","Bessemer Venture Partners","1","1% of Personal Equity; 1% of Time; 1% of Product","","","Unknown","","Unknown","","","",""
"001F000001opWRiIAM","001F000001opWRi","Code42","1","1% of Personal Equity; 1% of Time; 1% of Profit","New Enterprise Associates (NEA); SharesPost Investment Management; Split Rock Partners; Accel; JMI Equity","137500000","3","Secondary Market","Secondary Market","","","",""
"0011Y00002rcWeRQAU","0011Y00002rcWeR","Coinbase","0","","BBVA Ventures; Vayner/RSE; USAA; Sozo Ventures; Wellington Management; Chainfund Capital; Spark Capital; Draper Associates; Balyasny Asset Management; QueensBridge Venture Partners; Bank Of Tokyo - Mitsubishi UFJ; Blockchain Capital; FundersClub; Tusk Venture Partners; Reinventure; Propel Venture Partners; Jonathan Golden; Harjeet Taggar; Thirty Five Ventures; Bracket Capital; New York Stock Exchange (NYSE); #Angels; Alexis Ohanian; Red Swan Ventures; Y Combinator","547309825","","Secondary Market","","10/23/2019","","","Predicted Unicorn"
"0012A00002No621QAB","0012A00002No621","Crunchbase","1","I will set my Pledge Type later","AOL; Cowboy Ventures; Mayfield Fund; 8VC; Felicis Ventures; OMERS Ventures; SV Angel; Salesforce Ventures; Verizon Ventures; Emergence","56500000","","Venture - Series C","","10/31/2019","30000000","",""
"0012A00002GMEVoQAP","0012A00002GMEVo","Deloitte Private","0","","","","","","","","","",""
"001F000001MmrARIAZ","001F000001MmrAR","DocuSign","1","1% of Personal Equity; 1% of Time; 1% of Product","Mitsui & Co; EquityZen; BBVA Ventures; Wellington Management; Bain Capital Ventures; Rose Park Advisors; Bryan Rosenblatt; Generation Investment Management; Kleiner Perkins; Green Bay Ventures; Telstra Ventures; GV; ClearBridge Investments; Frazier Technology Ventures; Scale Venture Partners; Dell Technologies Capital; Propel Venture Partners; Wasatch Advisors; Second Century Ventures; WestRiver Group; ICONIQ Capital; Akkadian Ventures; Cross Creek; MKI; Comcast Ventures","536199999","13","Secondary Market","Series F","9/25/2019","-1062500","4/27/2018","Unicorn"
"0012A00002Nm4EJQAZ","0012A00002Nm4EJ","Dropbox","1","Unknown","Adam Smith; G Squared; Sequoia Capital; Morgan Stanley; Phil Quist; Green Bay Ventures; Goldman Sachs; Amidzad Partners; QueensBridge Venture Partners; Ali Partovi; RIT Capital Partners; Index Ventures; T. Rowe Price; Y Combinator; AFSquare; SV Angel; RBC Capital; BlackRock; Salesforce Ventures; Hadi Partovi; JPMorgan Partners (JPMP); Valiant Capital Partners; IVP; All Blue Capital; Bank of America","1707215000","","Debt Financing","","5/1/2019","","3/23/2018",""
"0012A00002GMEboQAH","0012A00002GMEbo","Flexport","1","1% of Time; 1% of Product","G Squared; First Round Capital; Next Play Capital; TYLT Ventures; Eric Wiesen; Fuel Capital; Yuri Sagalov; FJ Labs; Rahul Mehta; Flexport; Trident Capital; Fabrice Grinda; Hydrazine Capital; Joshua Reeves; Sherpalo Ventures; Mikhail Seregine; SoftBank Vision Fund; GV; Wells Fargo; A-Grade Investments; FundersClub; Sheel Mohnot; Trapp Lewis; Gianni Martire; 8VC","1304000000","","Secondary Market","","3/29/2019","1000000000","","Predicted Unicorn"
