"18 Digit Account ID Conversion","Account ID","Account Name","Billing Country (text only)","Website","Website URL cleaned","Crunchbase URL","Company NOT in Crunchbase","Company AIN'T BEEN CHECKED in Crunchbase"
"0011Y0000357bz9QAA","0011Y0000357bz9","_x1f680_HelloWoofy.com / Woofy.ai / EmojiData✅","United States","hellowoofy.com","hellowoofy.com","","0","1"
"0012A000022pJKSQA2","0012A000022pJKS","//SEIBERT/MEDIA","Germany","http://www.seibert-media.net","seibert-media.net","https://www.crunchbase.com/organization/siebert-media","0","0"
"0011Y00002rePA1QAM","0011Y00002rePA1","(PayPlus) MoMo+","Zambia","","","","0","1"
"0011Y00002reP1TQAU","0011Y00002reP1T","[@.i.]?","South Africa","","","","0","1"
"0011Y0000357UIfQAM","0011Y0000357UIf","@kapitan","Netherlands","http://kapitan.net","kapitan.net","","1","0"
"0011Y00002rb4ZLQAY","0011Y00002rb4ZL","$100 Off","United States","","","","0","1"
"0012A00002At75lQAB","0012A00002At75l","&shift","","https://www.andshift.com","andshift.com","https://www.crunchbase.com/organization/shift-10","0","0"
"0012A000022vkbQQAQ","0012A000022vkbQ","01system","Canada","http://www.01systemstudio.com/","01systemstudio.com/","","0","1"
"001F000001tzI4MIAU","001F000001tzI4M","10.10.10","United States","http://101010.net","101010.net","https://www.crunchbase.com/organization/10-10-10","0","0"
"0012A00002CbOf6QAF","0012A00002CbOf6","100M Technologies LLC","India","www.echoplans.com","echoplans.com","","0","1"
"0012A00002SHzwNQAT","0012A00002SHzwN","100React","Chile","100React.com","100React.com","","0","1"
"0012A00002SJEryQAH","0012A00002SJEry","101tokens","Australia","101tokens.com","101tokens.com","","0","1"
"0011Y00002rb4ZMQAY","0011Y00002rb4ZM","1075 Home","United States","http://www.1075home.com","1075home.com","","0","1"
"0011Y0000356kmdQAA","0011Y0000356kmd","10th Avenue Consulting","United States","http://10thaveconsulting.com","10thaveconsulting.com","","1","0"
"0011Y00002reP1UQAU","0011Y00002reP1U","10 to 2","South Africa","","","","0","1"
"0012A00002JLlA6QAL","0012A00002JLlA6","10xBattery","Portugal","http://www.10xbattery.com","10xbattery.com","","0","1"
"0012A00002Ta06TQAR","0012A00002Ta06T","123RF","United States","http://www.123rf.com","123rf.com","https://www.crunchbase.com/organization/123rf","0","0"
"0011Y00002rcgC6QAI","0011Y00002rcgC6","12Return","Netherlands","https://www.12return.com","12return.com","https://www.crunchbase.com/organization/12return","0","0"
"0012A000021zt7iQAA","0012A000021zt7i","164 Ltd","United States","","","","0","1"
"0012A00002CDowpQAD","0012A00002CDowp","1787fp","United States","https://www.1787fp.co","1787fp.co","https://www.crunchbase.com/organization/1787fp","0","0"
"0011Y00002reP8oQAE","0011Y00002reP8o","17TeraWatts","United States","17terawatts.com","17terawatts.com","","0","1"
"0012A00002DQRcsQAH","0012A00002DQRcs","1-800 CANDLES","United States","www.1-800Candles.Net","1-800Candles.Net","","0","1"
"0012A000029Sn7LQAS","0012A000029Sn7L","1973","United States","","","","0","1"
"0012A00002BrjGnQAJ","0012A00002BrjGn","1Degree","United States","http://www.1DegreeApp.com","1DegreeApp.com","https://www.crunchbase.com/organization/kinect","0","0"
"0011Y0000357bybQAA","0011Y0000357byb","1Export, Trade & Services","Philippines","1export.net","1export.net","","0","1"
"0012A00002LjxNHQAZ","0012A00002LjxNH","1hlth","United States","1hlth.com","1hlth.com","","0","1"
"001F000001RfWVsIAN","001F000001RfWVs","1 Place Patent Attorneys & Solicitors","Australia","http://1p.com.au","1p.com.au","https://www.crunchbase.com/organization/1-place-patent-attorneys-solicitors","0","0"
"0012A000020pGQeQAM","0012A000020pGQe","1Scope","Australia","https://1scope.com/","1scope.com/","https://www.crunchbase.com/organization/1scope","0","0"
"0012A00002SHzPnQAL","0012A00002SHzPn","1up Events","United States","1upevents.com","1upevents.com","","1","0"
"0011Y00002rb4ZOQAY","0011Y00002rb4ZO","20|10Labs","United States","20-10Labs.com","20-10Labs.com","","0","1"
"0012A000029f2N2QAI","0012A000029f2N2","210 Model Management","United States","","","","0","1"
"001F000001VLlguIAD","001F000001VLlgu","212 Group (3MD Group)","United Kingdom","Unknown","Unknown","","0","1"
"0012A00002GKjbsQAD","0012A00002GKjbs","2332 Collective","United States","http://www.2332collective.com","2332collective.com","","0","1"
"0011Y00002reOqJQAU","0011Y00002reOqJ","24/7/365 electricity generation system","United States","","","","0","1"
"0012A000029f3DJQAY","0012A000029f3DJ","24hp","United States","https://www.24hourposter.com/","24hourposter.com/","","0","1"
"0012A00002DQRXTQA5","0012A00002DQRXT","26 letters","United States","http://www.26letters.co/","26letters.co/","https://www.crunchbase.com/organization/26-letters","0","0"
"0012A00002WH2oAQAT","0012A00002WH2oA","27th Letter Media","United States","http://27thlettermedia.com","27thlettermedia.com","","1","0"
"0012A00002GMEJWQA5","0012A00002GMEJW","285M Pty Ltd","Australia","","","","0","1"
"0012A00002L3aETQAZ","0012A00002L3aET","2Betties","United States","http://2Betties.com","2Betties.com","","0","1"
"0012A00002BrjMOQAZ","0012A00002BrjMO","2DA Analytics","United States","http://www.2da.us","2da.us","https://www.crunchbase.com/organization/2da-analytics","0","0"
"0011Y00002reP6XQAU","0011Y00002reP6X","2Dai app","United States","2daiapp.com","2daiapp.com","","0","1"
"0012A00002SHzqvQAD","0012A00002SHzqv","2IT","Australia","http://Www.2it.com.au","Www.2it.com.au","","1","0"
"0012A00002BXhMyQAL","0012A00002BXhMy","2ULaundry","United States","https://www.2ulaundry.com/","2ulaundry.com/","https://www.crunchbase.com/organization/2u-laundry","0","0"
"0011Y00002reP4SQAU","0011Y00002reP4S","3/AXIS","United States","","","","0","1"
"0011Y00002nvBpeQAE","0011Y00002nvBpe","300 Editors, Inc.","United States","http://300editors.com/","300editors.com/","https://www.crunchbase.com/organization/300editors","0","0"
"0011Y00002rbbI1QAI","0011Y00002rbbI1","30KFT","Australia","http://30kft.com.au","30kft.com.au","","1","0"
"0011Y00002reP9yQAE","0011Y00002reP9y","360 STORIES","United States","http://www.360stories.com","360stories.com","https://www.crunchbase.com/organization/360stories","0","0"
"0012A00002SIugwQAD","0012A00002SIugw","360VUZ","United States","http://www.360VUZ.com","360VUZ.com","https://www.crunchbase.com/organization/360vuz","0","0"
"001F000001ReQeyIAF","001F000001ReQey","365cups","Australia","www.365cups.com/pub.php","365cups.com/pub.php","","0","1"
"0012A00002GwvDHQAZ","0012A00002GwvDH","365 Data Science","Bulgaria","https://365datascience.com","365datascience.com","https://www.crunchbase.com/organization/365-data-science","0","0"
"0012A00002Iymb7QAB","0012A00002Iymb7","391 Investments, Inc.","United States","391investments.com","391investments.com","","0","1"
